experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170906	H11	1	2.039623938	1:50000	NA19098	NA19101	19101_19098	00095
20170906	H12	1	2.169051468	1:50000	NA19098	NA19101	19101_19098	00094
20170907	A01	1	0.620615697	1:50000	NA18855	NA19098	18855_19098	00003
20170907	A02	1	1.55933477	1:50000	NA18855	NA19098	18855_19098	00002
20170907	A03	1	0.627408793	1:50000	NA18855	NA19098	18855_19098	00001
20170907	A04	1	0.32463161	1:50000	NA18855	NA19098	18855_19098	00049
20170907	A05	1	2.247891479	1:50000	NA18855	NA19098	18855_19098	00050
20170907	A06	1	1.20249365	1:50000	NA18855	NA19098	18855_19098	00051
20170907	A07	3	1.140856305	1:50000	NA18855	NA19098	18855_19098	00006
20170907	A08	1	0.363226215	1:50000	NA18855	NA19098	18855_19098	00005
20170907	A09	1	0.54025806	1:50000	NA18855	NA19098	18855_19098	00004
20170907	A10	1	0.866328382	1:50000	NA18855	NA19098	18855_19098	00052
20170907	A11	3	0.713963125	1:50000	NA18855	NA19098	18855_19098	00053
20170907	A12	1	1.946684545	1:50000	NA18855	NA19098	18855_19098	00054
20170907	B01	1	1.897230064	1:50000	NA18855	NA19098	18855_19098	00009
20170907	B02	2	1.378757316	1:50000	NA18855	NA19098	18855_19098	00008
20170907	B03	0	0.191941813	1:50000	NA18855	NA19098	18855_19098	00007
20170907	B04	1	0.540128619	1:50000	NA18855	NA19098	18855_19098	00055
20170907	B05	1	1.976536132	1:50000	NA18855	NA19098	18855_19098	00056
20170907	B06	1	1.568270483	1:50000	NA18855	NA19098	18855_19098	00057
20170907	B07	1	1.868929461	1:50000	NA18855	NA19098	18855_19098	00012
20170907	B08	1	2.331189317	1:50000	NA18855	NA19098	18855_19098	00011
20170907	B09	1	1.46281391	1:50000	NA18855	NA19098	18855_19098	00010
20170907	B10	1	1.190549078	1:50000	NA18855	NA19098	18855_19098	00058
20170907	B11	1	1.280038934	1:50000	NA18855	NA19098	18855_19098	00059
20170907	B12	2	1.524857059	1:50000	NA18855	NA19098	18855_19098	00060
20170907	C01	1	1.994958227	1:50000	NA18855	NA19098	18855_19098	00015
20170907	C02	1	1.939481766	1:50000	NA18855	NA19098	18855_19098	00014
20170907	C03	1	2.020059333	1:50000	NA18855	NA19098	18855_19098	00013
20170907	C04	1	2.016093083	1:50000	NA18855	NA19098	18855_19098	00061
20170907	C05	1	1.735241745	1:50000	NA18855	NA19098	18855_19098	00062
20170907	C06	1	1.813553002	1:50000	NA18855	NA19098	18855_19098	00063
20170907	C07	2	2.179983515	1:50000	NA18855	NA19098	18855_19098	00018
20170907	C08	1	0.562694412	1:50000	NA18855	NA19098	18855_19098	00017
20170907	C09	1	0.854777459	1:50000	NA18855	NA19098	18855_19098	00016
